@params:Chorus Amount|Chorus On|Chorus Rate|Cut On|Decay Time|Density|Diffuse Level|Diffusion|Dry/Wet|ER Shape|ER Spin Amount|ER Spin On|ER Spin Rate|Flat On|Freeze On|HiFilter Freq|HiFilter On|HiFilter Type|HiShelf Gain|In Filter Freq|In Filter Width|In HighCut On|In LowCut On|LowShelf Freq|LowShelf Gain|LowShelf On|Predelay|Reflect Level|Room Size|Scale|Size Smoothing|Stereo Image
Parking Garage:0.03196270763874054|0.0|0.4848484694957733|0.0|0.5748031139373779|0.0|0.9106502532958984|0.8968254327774048|0.3499999940395355|0.8031495809555054|0.4583333432674408|1.0|0.2575758099555969|0.0|0.0|0.26530614495277405|1.0|0.0|0.2291666567325592|0.4393838047981262|0.2916666865348816|1.0|1.0|0.6632652878761292|0.6666666865348816|1.0|0.8188977241516113|0.4365079402923584|0.8188977241516113|0.8095238208770752|2.0|0.690500020980835
Plate Damped:0.002506265649572015|0.0|0.10369296371936798|0.0|0.2619047462940216|0.0|0.7034740447998047|1.0|0.2199999988079071|0.5|0.6875|0.0|0.6212121844291687|0.0|0.0|0.36734694242477417|1.0|0.0|0.1666666716337204|0.469696968793869|0.6875|1.0|1.0|0.2271994799375534|1.0|1.0|0.2589765787124634|0.0|0.2698412835597992|0.3253968060016632|2.0|0.8333333134651184
Red Canyon:0.32348117232322693|1.0|0.5909090638160706|0.0|0.5826772451400757|0.0|1.0|0.4365079402923584|0.2800000011920929|0.7698412537574768|0.125|1.0|0.3333333432674408|0.0|0.0|0.7346938848495483|1.0|0.0|0.0208333320915699|0.8425196409225464|0.5625|1.0|1.0|0.22448980808258057|0.0624999962747097|1.0|0.8503937125205994|0.7380952835083008|1.0|0.7578946948051453|2.0|0.8968333601951599
Reflections:0.025737572461366653|1.0|0.7283950448036194|0.0|0.5476190447807312|2.0|1.0|0.0|1.0|0.8492063283920288|1.0|0.0|1.0|0.0|0.0|0.5478261113166809|1.0|0.0|0.3191488981246948|0.654321014881134|0.5744680762290955|1.0|1.0|0.25217390060424805|0.27659574151039124|1.0|0.0|0.0|1.0|0.944444477558136|2.0|0.5634920597076416
Room Wood:0.28522783517837524|0.0|0.9545454382896423|0.0|0.27559059858322144|0.0|1.0|0.3253968358039856|0.20000000298023224|0.30158731341362|0.4791666567325592|0.0|0.696969747543335|0.0|0.0|0.5816327333450317|1.0|0.0|0.5000000596046448|0.4803149104118347|0.5416666269302368|1.0|1.0|0.16315661370754242|0.0416666641831398|1.0|0.7086614370346069|0.8015872836112976|0.6220472455024719|0.2857142686843872|2.0|0.6888333559036255
Short Ambience:0.025737572461366653|0.0|0.7283950448036194|0.0|0.2619047462940216|1.0|1.0|0.0|1.0|0.8492063283920288|1.0|0.0|1.0|0.0|0.0|0.5130435228347778|1.0|0.0|0.0|0.5555556416511536|0.3191489577293396|1.0|1.0|0.1826087087392807|0.0|1.0|0.0|0.0|0.5079365372657776|0.944444477558136|2.0|0.5634920597076416
Singing Can:0.8380287885665894|1.0|0.8292682766914368|1.0|0.6904762387275696|2.0|1.0|1.0|1.0|0.2936508059501648|0.8823529481887817|0.0|0.6463415026664734|1.0|0.0|0.632478654384613|1.0|0.0|0.0|0.5731707215309143|0.4117647111415863|1.0|1.0|0.41025638580322266|0.4705882668495178|1.0|0.3174603283405304|0.976190447807312|0.0317460261285305|0.4047619104385376|2.0|0.460317462682724
Six Seconds:0.029577599838376045|1.0|0.8024691343307495|1.0|0.579365074634552|1.0|0.49356332421302795|0.6246089935302734|1.0|0.5|0.6544755101203918|1.0|0.48569256067276|1.0|0.0|0.6173912882804871|1.0|0.0|0.6170213222503662|0.6172839999198914|0.5957446098327637|1.0|1.0|0.2271994799375534|0.6875|0.0|0.6587302088737488|0.49356332421302795|0.7460318207740784|0.5634920001029968|2.0|0.8333333134651184
Sixty Seconds:0.07038673758506775|1.0|0.7121211886405945|1.0|1.0|1.0|0.49356332421302795|0.6246089935302734|0.550000011920929|0.5079365372657776|0.6544755101203918|1.0|0.48569256067276|1.0|0.0|0.6734693646430969|1.0|0.0|0.5208333730697632|0.6818181276321411|0.4791666567325592|1.0|1.0|0.18367350101470947|0.5833333730697632|1.0|0.682539701461792|0.49356332421302795|0.7539682388305664|0.5634920001029968|2.0|0.8333333134651184
Sizzle:0.0476190485060215|1.0|0.3181818127632141|0.0|0.5643406510353088|3.0|1.0|0.7288842797279358|1.0|1.0|0.5833333134651184|0.0|0.40909090638160706|0.0|0.0|0.8367347121238708|0.0|0.0|0.25|0.6212120652198792|0.0|0.0|1.0|0.2271994799375534|0.6875|0.0|0.8525586128234863|0.23975330591201782|0.8676563501358032|1.0|2.0|0.8333333134651184
Small Chamber:0.002506265649572015|0.0|0.10369296371936798|0.0|0.1926112174987793|3.0|0.49356332421302795|0.9374348521232605|1.0|0.9523809552192688|0.7291666865348816|0.0|0.1363636702299118|0.0|0.0|0.7346938848495483|1.0|0.0|0.25|0.7575756907463074|0.5416666269302368|1.0|0.0|0.2271994799375534|0.6875|0.0|0.3705117404460907|0.8895738124847412|0.3372792899608612|0.0|2.0|0.8333333134651184
Small Hall:0.002506265649572015|0.0|0.10369296371936798|0.0|0.3411613404750824|3.0|0.7034740447998047|0.7301586866378784|1.0|1.0|0.5833333134651184|0.0|0.40909090638160706|0.0|0.0|0.7551020979881287|1.0|0.0|0.6666666865348816|0.7272727489471436|0.4166666567325592|1.0|0.0|0.19387756288051605|0.7291666865348816|1.0|0.5935820937156677|0.49356332421302795|0.777866780757904|1.0|2.0|0.8333333134651184
Small Room:0.002506265649572015|0.0|0.10369296371936798|1.0|0.2536771595478058|3.0|0.6253118515014648|0.5703125596046448|1.0|0.375|0.7083333134651184|1.0|0.2575758099555969|1.0|0.0|0.7734373807907104|1.0|0.0|0.5000000596046448|0.6515150666236877|0.4166666567325592|1.0|0.0|0.2271994799375534|0.6875|0.0|0.482046902179718|0.5556497573852539|0.3372792899608612|0.944444477558136|2.0|0.8333333134651184
