@params:Channel Mode|Clip Dry|Dly < Mod|Dry Wet|Duck On|Duck Release|Duck Thr|Env Mix|Feedback|Feedback Inv|Filter On|Flt < Mod|Gate On|Gate Release|Gate Thr|HP Freq|HP Res|Input Gain|L 16th|L Division|L Offset|L Sync|L Sync Mode|L Time|LP Freq|LP Res|Link|Mod 4x|Mod Freq|Mod Phase|Mod Rate|Mod Sync|Mod Wave|Noise Amt|Noise Mrph|Noise On|Output Gain|R 16th|R Division|R Offset|R Sync|R Sync Mode|R Time|Repitch|Repitch Smoothing Time|Reverb Decay|Reverb Level|Reverb Loc|Stereo Width|Wobble Amt|Wobble Mrph|Wobble On
Downwards:0.0|0.0|1.0|0.4920634925365448|0.0|0.05468836426734924|1.0|0.0|0.5873016119003296|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.06334956735372543|0.5873016119003296|0.5|1.0|-4.0|0.5|1.0|1.0|0.4453125|1.0|0.2698412835597992|1.0|0.0|0.7031354904174805|0.0|15.0|1.0|4.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.5|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.0|0.0|2.0|0.5|0.0|0.0|0.0
DrumFlanger:0.0|0.0|1.0|1.0|0.0|0.05468836426734924|1.0|1.0|0.5476190447807312|1.0|1.0|0.3984375|0.0|0.602835476398468|1.0|0.11764577776193619|0.2857142984867096|0.5|1.0|-3.0|0.5|0.0|0.0|0.2421875|1.0|0.2380952388048172|0.0|0.0|0.18749837577342987|0.359375|9.0|0.0|0.0|0.0|0.0|0.0|0.5625|4.0|-5.0|0.5|0.0|3.0|0.2380952537059784|0.0|0.7559748291969299|0.296875|0.0|0.0|0.579365074634552|0.0|0.0|0.0
Dub Syndicate:0.0|1.0|0.0|0.5|0.0|0.05468836426734924|0.40625|0.2734375|0.4523809850215912|1.0|1.0|0.4765625|1.0|0.3984346389770508|0.40625|0.3438970446586609|0.3968254029750824|0.5317460298538208|2.0|-4.0|0.5|1.0|3.0|0.4453125|0.8325778245925903|0.7460317611694336|1.0|0.0|0.703133761882782|0.734375|9.0|1.0|0.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.546875|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.296875|0.375|0.0|0.5|0.0|0.0|0.0
Ensemble Digital:1.0|0.0|0.125|0.6746031641960144|1.0|0.37277066707611084|0.734375|0.0|0.0793650820851326|0.0|1.0|0.4765625|1.0|0.36718857288360596|0.625|0.13264580070972443|0.0|0.6111111044883728|3.0|-2.0|0.8359375|1.0|0.0|0.40579333901405334|1.0|0.0|0.0|0.0|0.6388094425201416|0.5|15.0|1.0|4.0|0.0|0.0|0.0|0.5634920597076416|3.0|-4.0|0.8437500596046448|1.0|0.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.4920634925365448|1.0|0.3095238208770752|0.0|0.0|0.0
Ethereal Canyon:0.0|0.0|0.0625|0.3492063581943512|1.0|0.07031620293855667|0.6484375|0.0|0.5634920597076416|0.0|1.0|0.015625|1.0|0.8203117847442627|0.234375|0.2850688695907593|0.0317460335791111|0.523809552192688|1.0|-2.0|0.5|0.0|0.0|0.6666666865348816|0.7104078531265259|0.0|0.0|0.0|0.617191731929779|0.5|9.0|0.0|0.0|0.5859375|0.2109375|1.0|0.5|4.0|-2.0|0.6640625|0.0|0.0|0.7063491940498352|0.0|0.7559748291969299|0.8203125|0.8095238208770752|1.0|1.0|0.078125|0.53125|1.0
Fake Dub Room:1.0|1.0|0.03125|0.5952380895614624|0.0|0.37277066707611084|1.0|0.0|0.007936508394777775|0.0|1.0|0.0|0.0|0.602835476398468|1.0|0.3490317463874817|0.5106382966041565|0.579365074634552|3.0|-3.0|0.5|0.0|2.0|0.285714328289032|0.7993140816688538|0.0|0.0|0.0|0.8046876192092896|0.71875|12.0|0.0|1.0|0.171875|0.2109375|1.0|0.4047619104385376|3.0|-3.0|0.5|0.0|2.0|0.261904776096344|1.0|0.7559748291969299|0.2265625|0.2063492089509964|1.0|0.6746031641960144|0.0|0.0|0.0
Filter Flutter Analog:1.0|1.0|0.0|0.460317462682724|1.0|0.37277066707611084|0.4609375|0.0|0.5634920597076416|0.0|1.0|0.46875|0.0|0.602835476398468|1.0|0.23921753466129303|0.5106382966041565|0.5952380895614624|3.0|-4.0|0.5|1.0|1.0|0.4126984179019928|0.7333325743675232|0.25531914830207825|1.0|0.0|0.3984392583370209|0.0|2.0|1.0|0.0|0.7265625|0.3984375|1.0|0.5|3.0|-3.0|0.5|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.5|0.0|1.0|0.453125|0.0|0.0|0.0
Flanged Out:1.0|0.0|0.375|0.60317462682724|0.0|0.372768372297287|1.0|0.09375|0.4523809850215912|0.0|1.0|0.4921875|0.0|0.6028345823287964|1.0|0.1647038757801056|0.3617021143436432|0.5|3.0|-3.0|0.023437494412064552|0.0|2.0|0.08730161190032959|0.6588307023048401|0.8085106611251831|1.0|1.0|0.6388094425201416|0.5|4.0|1.0|0.0|0.0|0.0|0.0|0.5|3.0|-3.0|1.0|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.625|0.0555555559694767|0.0|0.761904776096344|0.90625|0.28125|1.0
Flutter One:0.0|0.0|0.0|0.4761904776096344|0.0|0.37277066707611084|1.0|0.0|0.5079365372657776|0.0|1.0|0.015625|1.0|0.8203117847442627|0.234375|0.27149468660354614|0.4761904776096344|0.5|1.0|-3.0|0.5|1.0|0.0|0.1984127163887024|0.8190016150474548|0.5873016119003296|0.0|0.0|0.617191731929779|0.5|9.0|0.0|0.0|0.6484375|0.9140625|1.0|0.5|4.0|-3.0|0.5|1.0|0.0|0.2380952537059784|1.0|0.7559748291969299|0.3671875|0.375|1.0|0.6269841194152832|0.2890625|0.9375|1.0
Gated Splash:1.0|1.0|0.0703125|0.6746031641960144|0.0|0.37277066707611084|1.0|0.0|0.1269841343164444|1.0|1.0|0.3203125|1.0|0.7656248807907104|0.8515625|0.2705897092819214|0.5106382966041565|0.4761904776096344|3.0|-6.0|0.9296875|1.0|0.0|0.2539682686328888|0.6666654348373413|0.9374999403953552|0.0|0.0|0.5624966621398926|0.3203125|6.0|1.0|1.0|0.2109375|0.28125|1.0|0.4285714328289032|3.0|-6.0|0.5|1.0|0.0|0.3968254029750824|1.0|0.7559748291969299|0.2265625|0.0|1.0|0.6746031641960144|0.4453125|0.0|1.0
HallMod:0.0|0.0|0.046875|0.4920634925365448|1.0|0.3749994933605194|0.46875|0.2421875|0.4444444477558136|0.0|1.0|0.546875|1.0|0.6093753576278687|0.0|0.3936658799648285|0.4285714328289032|0.5|1.0|-3.0|0.5|1.0|1.0|0.4453125|0.8235282301902771|0.4285714328289032|1.0|0.0|0.7031354904174805|0.0|9.0|1.0|2.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.5390625|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.4921875|0.8809523582458496|0.0|0.5|0.0|0.0|0.0
HallowTrip:0.0|0.0|0.0|0.5078125|0.0|0.05468836426734924|1.0|0.40625|0.5079365372657776|0.0|1.0|0.3828125|0.0|0.602835476398468|1.0|0.5113127827644348|0.30158731341362|0.5|1.0|-3.0|0.5|1.0|1.0|0.4453125|0.665160596370697|0.2539682686328888|1.0|0.0|0.703133761882782|0.5|9.0|1.0|0.0|0.0|0.0|0.0|0.5|4.0|-5.0|0.640625|0.0|3.0|0.1984127163887024|1.0|0.7559748291969299|0.2109375|0.380952388048172|2.0|0.5|0.0|0.0|0.0
Hiss Tape Mode:1.0|0.0|0.0|0.3571428656578064|0.0|0.37277066707611084|1.0|0.0625|0.4047619104385376|1.0|1.0|0.421875|1.0|0.796870231628418|0.71875|0.3098044693470001|0.5106382966041565|0.579365074634552|3.0|-4.0|0.5|1.0|0.0|0.230158731341362|0.7176443934440613|0.40425533056259155|1.0|0.0|0.46874862909317017|1.0|2.0|0.0|0.0|0.796875|0.03125|1.0|0.5|3.0|-4.0|0.5|1.0|2.0|0.40579333901405334|1.0|0.7559748291969299|0.28125|0.3888888955116272|1.0|0.5|0.1484375|0.40625|1.0
Liqourice Whip:0.0|0.0|1.0|0.658730149269104|0.0|0.37277066707611084|1.0|0.019999999552965164|0.6190476417541504|0.0|1.0|0.0|1.0|0.602835476398468|0.8833333253860474|0.17255036532878876|0.3404255211353302|0.5634920597076416|3.0|-6.0|0.5|1.0|2.0|0.5653063654899597|0.792157769203186|0.21276597678661346|0.0|1.0|0.6388094425201416|0.0|12.0|1.0|5.0|0.390625|0.0|1.0|0.44562461972236633|3.0|-6.0|0.5|1.0|2.0|0.5653063654899597|1.0|0.7559748291969299|0.0859375|0.3174603283405304|1.0|0.8809523582458496|0.0|0.0|0.0
Long Tape:0.0|0.0|0.0|0.4761904776096344|0.0|0.37277066707611084|1.0|0.984375|0.5079365372657776|0.0|1.0|0.921875|1.0|0.8203117847442627|0.234375|0.3438952565193176|0.460317462682724|0.5|1.0|-2.0|0.5|1.0|0.0|0.1984127163887024|0.6923086047172546|0.380952388048172|0.0|0.0|0.617191731929779|0.5|9.0|0.0|0.0|0.765625|0.9140625|1.0|0.5|4.0|-2.0|0.5|1.0|0.0|0.2380952537059784|0.0|0.7559748291969299|0.3671875|0.7539682388305664|1.0|0.6269841194152832|0.2890625|0.53125|1.0
