@params:Cyc Env Hold|Cyc Env Rate|Cyc Env Ratio|Cyc Env Synced|Cyc Env Tilt|Cyc Env Time|Cyc Env Time Mode|Drift|Env 1 Attack|Env 1 Decay|Env 1 Release|Env 1 Sustain|Env 2 Attack|Env 2 Cyc On|Env 2 Decay|Env 2 Release|Env 2 Sustain|Glide Time|HP Freq|Key > LPF|LFO Amt|LFO Mod Amt|LFO Rate|LFO Ratio|LFO Retrig On|LFO Synced|LFO Time|LFO Time Mode|LFO Wave|LP Freq|LP Mod Amt 1|LP Mod Amt 2|LP Reso|LP Type|Legato On|Mod Matrix Amt 1|Mod Matrix Amt 2|Mod Matrix Amt 3|Noise Flt On|Noise Gain|Noise On|Note Pitch Bend On|Osc 1 Flt On|Osc 1 Gain|Osc 1 Oct|Osc 1 On|Osc 1 Shape|Osc 1 Shape Mod Amt|Osc 1 Wave|Osc 2 Detune|Osc 2 Flt On|Osc 2 Gain|Osc 2 Oct|Osc 2 On|Osc 2 Wave|Osc Retrig On|Pitch Mod Amt 1|Pitch Mod Amt 2|Poly Voice Depth|Spread|Strength|Thickness|Transpose|Vel > Vol|Volume
80s Tape:0.0|0.31225648522377014|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.515625|0.11075662076473236|0.3974480628967285|0.6349206566810608|0.699999988079071|0.60317462682724|0.0|0.3974480628967285|0.579365074634552|0.699999988079071|0.0|0.007936499081552029|0.0|1.0|0.5|0.057398803532123566|0.0476190485060215|0.0|15.0|0.7698412537574768|1.0|8.0|0.8174603581428528|0.8671875|0.5|0.0|1.0|0.0|0.421875|1.0|0.5|1.0|0.2777778208255768|1.0|1.0|1.0|0.5478326082229614|1.0|1.0|0.1349206417798996|0.4375|2.0|0.523809552192688|1.0|0.5478326082229614|-1.0|1.0|0.0|0.0|0.40625|0.59375|0.0|0.699999988079071|0.3125|0.30000001192092896|0.0|0.1953125|0.6309606432914734
AG Bass:0.0|0.7460317611694336|0.0476190485060215|15.0|0.6111111044883728|0.4047619104385376|0.0|0.6796875|0.0|0.420634925365448|0.5|0.6190476417541504|0.0|0.0|0.420634925365448|0.4523809552192688|0.8095238208770752|0.671875|0.111111119389534|0.296875|0.6984127163887024|0.8984375|0.3253968358039856|0.0476190485060215|1.0|15.0|0.4761904776096344|0.0|3.0|0.5555555820465088|0.875|0.375|0.682539701461792|1.0|0.0|0.0|0.3203125|0.1953125|1.0|0.4206349551677704|1.0|1.0|1.0|0.8809523582458496|1.0|1.0|0.7063491940498352|0.0|4.0|0.5|1.0|0.89682537317276|1.0|1.0|3.0|0.0|0.6015625|0.5|0.0|0.765625|0.46875|0.453125|-12.0|0.5|0.3981052041053772
Airfare Bass:0.0|0.31225648522377014|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.0|0.190476194024086|0.5873016119003296|0.3328169882297516|1.0|0.11075662076473236|0.0|0.3968254029750824|0.3967844247817993|0.0|0.0|0.1479894071817398|0.5|1.0|0.5|0.0097488509491086|0.1746031790971756|1.0|15.0|0.29616981744766235|0.0|0.0|0.39731892943382263|0.5|0.5905511379241943|0.3799118399620056|1.0|0.0|0.84375|0.6875|0.3125|0.0|0.6698591709136963|0.0|1.0|1.0|0.6218454837799072|-1.0|1.0|0.81640625|1.0|2.0|0.5873016119003296|1.0|0.6661417484283447|-1.0|1.0|4.0|0.0|0.5|0.5|0.33000001311302185|0.33000001311302185|0.33000001311302185|0.33000001311302185|0.0|0.30000001192092896|0.7079439163208008
Analog Ride:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.0|0.0793650820851326|0.3663557469844818|0.3888888955116272|0.0|0.0|0.0|0.031745653599500656|0.3967844247817993|0.0|0.2421875|0.817460298538208|0.0|0.0|0.5|0.9148457050323486|0.0476190485060215|1.0|15.0|0.29616981744766235|0.0|6.0|0.9444444179534912|0.21715405583381653|0.5|0.203125|0.0|0.0|0.9675928950309753|0.5|0.1875|1.0|0.7358816862106323|1.0|1.0|1.0|0.6335339546203613|2.0|1.0|1.0|0.2578125|0.0|0.8333333134651184|1.0|0.7358816862106323|2.0|1.0|2.0|1.0|0.5|1.0|0.0|0.3984375|0.0|0.0859375|0.0|0.5|0.44668474793434143
Analog Tom:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.07199999690055847|0.11031746119260788|0.3905316889286041|0.484375|0.0|0.0|0.0|0.3359375|0.3967844247817993|0.0|0.0|0.0|0.84375|0.3095238208770752|0.5|0.8354244232177734|0.0476190485060215|1.0|15.0|0.29616981744766235|0.0|8.0|1.0|0.21715405583381653|0.5|0.0|1.0|0.0|0.9675928950309753|1.0|1.0|1.0|0.5853665471076965|1.0|1.0|1.0|0.5990749597549438|-2.0|1.0|0.0|0.550000011920929|0.0|0.5|1.0|0.1804165542125702|-2.0|0.0|4.0|1.0|0.859375|0.5|0.0|0.0|0.0|0.265625|0.0|0.71875|0.9484127163887024
Arcade Split:1.0|0.055545624345541|0.0476190485060215|15.0|0.4920634925365448|0.0|1.0|0.265625|0.1269841343164444|0.5634920597076416|0.4047619104385376|0.0|0.1587301641702652|0.0|0.3730158805847168|0.3174603283405304|0.0|0.0|0.222222238779068|0.28125|0.8650793433189392|0.7890625|0.04499194771051407|0.1746031790971756|1.0|15.0|0.0|0.0|0.0|0.4523809850215912|0.8984375|0.734375|0.4523809552192688|0.0|0.0|0.65625|0.875|1.0|1.0|0.239305317401886|1.0|1.0|1.0|0.5256116986274719|-1.0|1.0|0.0|0.65625|0.0|0.3888888955116272|1.0|0.5655404925346375|-1.0|1.0|1.0|0.0|0.59375|0.39281249046325684|1.0|0.6507936716079712|0.0|0.6171875|12.0|0.0|0.579365074634552
Atlas Keys:0.0|0.230158731341362|0.0476190485060215|12.0|0.5317460298538208|0.4047619104385376|3.0|0.7265625|0.2222222238779068|0.3174603283405304|0.658730149269104|0.7063491940498352|0.4523809552192688|1.0|0.8015872836112976|0.6984127163887024|0.6904761791229248|0.0|0.4523809552192688|0.296875|0.5952380895614624|0.0|0.89682537317276|0.0|1.0|15.0|0.4761904776096344|0.0|6.0|0.6190476417541504|0.390625|0.2265625|0.4126984179019928|1.0|0.0|0.0390625|1.0|0.71875|1.0|0.230158731341362|1.0|1.0|1.0|0.734375|0.0|1.0|0.7857142686843872|1.0|3.0|0.3888888955116272|0.0|0.682539701461792|0.0|1.0|2.0|0.0|0.5625|0.5|0.0|0.1640625|0.703125|0.0|0.0|0.5|0.2460317462682724
Beating Vibraphone:0.0|0.31225648522377014|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.3125|0.11075662076473236|0.3974887430667877|0.640625|0.5714285969734192|0.11075662076473236|0.0|0.39744803309440613|0.3967844247817993|0.699999988079071|0.0|0.0|0.0|1.0|0.5|0.05739879235625267|0.0476190485060215|0.0|15.0|0.29616981744766235|0.0|0.0|1.0|0.5|0.5|0.0|1.0|0.0|0.5|0.5|0.5|1.0|0.0|0.0|1.0|1.0|0.5478326082229614|0.0|1.0|0.0|0.5546875|0.0|0.6583190560340881|1.0|0.5478326082229614|0.0|1.0|0.0|0.0|0.5|0.5|0.9841269850730896|0.9841269850730896|0.9841269850730896|0.9841269850730896|0.0|0.10000000149011612|0.5
Bell Wave:0.0|0.31225645542144775|0.0476190485060215|15.0|0.5|0.29616981744766235|0.0|0.2265625|0.1666666716337204|0.2539682686328888|0.5634920597076416|0.8650793433189392|0.1746031790971756|0.0|0.5634920597076416|0.8253968358039856|0.5555555820465088|0.0|0.2619048058986664|0.2734375|0.02380952425301075|0.7578125|0.6585237979888916|0.0873015895485878|1.0|15.0|0.6721594333648682|0.0|0.0|0.39584025740623474|0.8693749904632568|0.7109375|0.5079365372657776|1.0|0.0|0.7890625|0.5859375|0.8515625|1.0|0.0|1.0|1.0|1.0|0.502164900302887|0.0|1.0|0.7109375|0.65625|0.0|0.6171345114707947|1.0|0.627436101436615|0.0|1.0|0.0|0.0|0.578125|0.6171875|0.4365079402923584|0.4365079402923584|0.4365079402923584|0.4365079402923584|0.0|0.3515625|0.4444444477558136
Bellatine:0.5317460298538208|0.31225645542144775|0.8730158805847168|15.0|0.0|0.0793650820851326|2.0|0.796875|0.12722596526145935|0.4126984179019928|0.523809552192688|0.1666666716337204|0.20000000298023224|1.0|1.0|1.0|0.8461538553237915|0.0|0.341269850730896|0.0|0.0873015895485878|1.0|0.2222222238779068|0.0793650820851326|0.0|15.0|0.29616981744766235|2.0|0.0|0.3571428954601288|0.21715405583381653|0.5|0.65625|0.0|0.0|0.7421875|1.0|0.7421875|1.0|0.3888888955116272|1.0|1.0|1.0|0.4126984477043152|0.0|1.0|0.2857142984867096|0.5249999761581421|0.0|0.3888888955116272|1.0|0.8888888955116272|0.0|1.0|0.0|0.0|0.8203125|0.6484375|0.0|0.0|0.0|0.0|0.0|0.5|0.4682539701461792
