@params:Decay|Dry Wet|Freq. Hz|Glide|HF Damp|Harmonics|Input Send Gain|LF Damp|Mod Rate|Note|Pitch Mod|Quantize|Shift|Stretch|Transp Scale|Transpose|Unison|Unison Amount|Use Scale
Dripping Grains:0.7220650911331177|0.3499999940395355|0.5984413623809814|0.0|0.46000000834465027|1.0|0.5337499976158142|0.4399999976158142|0.29417333006858826|57.0|0.0|0.0|0.75|0.3199999928474426|0.0|0.0|1.0|0.468069463968277|0.0
Drum Challenger:0.341269850730896|0.6507936716079712|0.47234049439430237|0.0|0.230158731341362|0.9608125686645508|0.4533730447292328|0.2063492089509964|0.1587301641702652|25.0|0.1093750074505806|0.0|0.5625|0.609375|0.0|0.0|1.0|0.515625|0.0
Drum Snow:0.60317462682724|0.5|0.47234049439430237|0.0|0.5079365372657776|1.0|0.5724206566810608|0.2063492089509964|0.3333333432674408|70.0|0.8203125|0.0|1.0|0.609375|0.0|0.0|3.0|0.8125|0.0
Low Rider Drum:0.1587427407503128|0.550000011920929|0.47234049439430237|0.0|0.11999999731779099|1.0|0.649722158908844|0.0|0.6167356967926025|45.0|0.81208336353302|0.0|0.375|0.109375|0.0|0.0|1.0|0.32385319471359253|0.0
Metallic Tail:1.0|0.5|0.47234049439430237|0.0|0.5899999737739563|1.0|0.3541666567325592|0.3650793731212616|0.21516823768615723|45.0|0.7109375|0.0|0.5729166865348816|0.5|0.0|0.0|2.0|0.0|0.0
Reso Mirrors:0.3888888955116272|0.5|0.47234049439430237|0.0|0.5476190447807312|0.25|0.4375|0.5|0.5952380895614624|48.0|0.018600039184093475|0.0|0.4651249349117279|0.5078125|0.0|0.0|2.0|0.6015625|0.0
Robot Drums:0.40504711866378784|0.6000000238418579|0.4026646316051483|0.0|0.2800000011920929|1.0|0.30158731341362|0.5079365372657776|0.030000006780028343|57.0|0.09718754142522812|0.0|0.875|1.0|0.0|0.0|1.0|0.59375|0.0
Wandering Reso:0.6349206566810608|0.5|0.47234049439430237|0.0|0.095238097012043|1.0|0.3924999535083771|0.15079365670681|0.6594793796539307|57.0|0.4296875|0.0|0.625|0.5|0.0|0.0|3.0|0.27831578254699707|0.0
