@params:Body Decay|Body High-Cut|Body Low-Cut|Body Mix|Body On/Off|Body Size|Body Type|D Damping|D Mass < Key|D Pos < Key|D Pos < Vel|D Pos Abs|D Stiff < Key|D Stiffness|D Velo < Key|D Velocity|Damp Pos|Damper Gated|Damper Mass|Damper On|E Pos|E Pos < Key|E Pos < Vel|E Pos Abs|Error|Exc Damping|Exc Mass|Exc Mass < Key|Exc Mass < Vel|Exc On/Off|Exc Stiff < Key|Exc Stiff < Vel|Exc Stiffness|Exc Vel < Key|Exc Vel < Vel|Exc Velocity|Exciter Type|FEG < Vel|FEG Att < Vel|FEG Attack|FEG Decay|FEG On/Off|FEG Release|FEG Sustain|Filter Freq|Filter On/Off|Filter Reso|Filter Type|Fine Tune|Freq < Env|Freq < Key|Freq < LFO|Key Priority|LFO Delay|LFO Fade In|LFO On/Off|LFO Shape|LFO Speed|LFO Sync On|LFO SyncRate|Note PB Range|Octave|PB Range|Pickup On/Off|Pickup Pos|Porta Legato|Porta On/Off|Porta Prop|Porta Time|Press Amt A|Press Amt B|Press Dest A|Press Dest B|Reso < Env|Reso < Key|Reso < LFO|S Damp < Key|S Decay < Key|S Decay Ratio|Semitone|Slide Amt A|Slide Amt B|Slide Dest A|Slide Dest B|Str Damping|Str Inharmon|Stretch|String Decay|T Mass < Key|T Mass < Vel|Term Fng Stiff|Term Fret Stiff|Term Mass|Term On/Off|Uni Delay|Uni Detune|Unison On/Off|Unison Voices|Vib < ModWh|Vib Amount|Vib Delay|Vib Error|Vib Fade-In|Vib Speed|Vibrato On/Off|Voices|Volume
Clav Bright:0.2890625|0.1328125|0.234375|0.4375|1.0|1.0|0.0|0.658730149269104|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.46875|0.1328125|1.0|0.7936508059501648|1.0|0.0|0.0|0.0|1.0|0.0|0.9920634627342224|1.0|0.0|0.0|1.0|0.0|0.579365074634552|0.2345915287733078|0.0|0.0|1.0|3.0|0.0|0.0|0.3671875|0.3671875|1.0|0.3671875|1.0|0.523809552192688|0.0|0.3203125|1.0|0.5|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.6349206566810608|0.0|14.0|0.0|0.0|1.0|1.0|0.7307085990905762|0.0|0.0|1.0|0.453125|0.109375|0.5|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5873016119003296|0.0|0.5|0.5|0.0|0.0|1.0|0.0|0.7460317611694336|0.6269841194152832|0.0|0.0|0.6507936716079712|0.6507936716079712|0.6349206566810608|0.0|0.0|0.0|0.0|0.0|0.8015872836112976|0.0|0.296875|0.0|0.296875|0.5317460298538208|1.0|4.0|0.0793650820851326
Clav Celesta:1.0|0.03125|1.0|0.21875|1.0|0.0|1.0|0.5634920597076416|0.0|0.0|0.0|0.0|0.0|0.8571428656578064|0.0|0.0|0.6190476417541504|1.0|0.60317462682724|1.0|0.8188976645469666|0.0|0.0|0.0|0.0|0.4375|0.0546875|-0.34375|0.658730149269104|1.0|-0.3515625|0.0|0.658730149269104|0.0|0.7301587462425232|0.24704724550247192|2.0|0.0|0.0|0.3671875|0.3671875|1.0|0.8095238208770752|1.0|0.4330708682537079|1.0|0.5118110179901123|5.0|0.5|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.6349206566810608|0.0|14.0|0.0|0.0|2.0|1.0|0.8888888955116272|0.0|0.0|1.0|0.453125|0.15625|0.5|2.0|0.0|0.0|0.0|0.0|0.0|-0.421875|0.7142857313156128|0.0|0.5|0.5|0.0|0.0|1.0|0.171875|0.8015872836112976|0.8110235929489136|0.0|0.0|0.6507936716079712|0.6507936716079712|0.6507936716079712|0.0|0.0|0.0|0.0|0.0|0.8015872836112976|0.0|0.0|0.0|0.0|0.5317460298538208|1.0|4.0|0.5
Clav Clean:0.4765625|0.4921875|0.4920634925365448|0.3046875|1.0|2.0|1.0|0.5476190447807312|0.0|0.0|0.0|0.0|0.0|0.6111111044883728|0.0|0.0703125|0.6190476417541504|1.0|0.7698413133621216|1.0|0.5039370059967041|0.0|0.0|0.0|0.0|0.9603174924850464|0.34375|0.015625|0.5952380895614624|1.0|0.0|0.0|0.3828125|0.0|0.7301587462425232|0.3468872904777527|3.0|0.0|0.0|0.3671875|0.3671875|1.0|0.3671875|1.0|1.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.6349206566810608|0.0|14.0|0.0|0.0|2.0|1.0|0.125|0.0|0.0|1.0|0.453125|0.03125|0.5|2.0|0.0|0.0|0.0|0.0|0.4140625|0.3984375|0.3984375|0.0|0.5|0.5|0.0|0.0|0.6666666865348816|0.203125|0.8015873432159424|0.8897637724876404|0.0|0.0|0.6507936716079712|0.6507936716079712|0.6349206566810608|0.0|0.0|0.0|0.0|0.0|0.8015873432159424|0.0|0.0|0.0|0.0|0.5317460298538208|1.0|3.0|0.2380952388048172
Clav Clicky:0.6111111044883728|0.8571428656578064|0.5317460298538208|0.5873016119003296|1.0|2.0|0.0|0.640625|0.0|0.0|0.0|0.0|0.0|0.8253968358039856|0.0|0.4682539701461792|0.6269841194152832|1.0|0.817460298538208|1.0|0.817460298538208|0.0|0.0|0.0|0.0|0.9603174328804016|0.375|0.0|0.5079365372657776|1.0|0.0|0.0|0.3828125|0.0|0.738095223903656|0.9285714030265808|3.0|0.0|0.0|0.3671875|0.3671875|1.0|0.3671875|1.0|0.765625|1.0|0.38181817531585693|1.0|0.5|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.6349206566810608|0.0|14.0|0.0|0.0|2.0|1.0|0.3984375|0.0|0.0|1.0|0.453125|-0.15625|0.5|7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.9418749809265137|0.0|0.5|0.5|0.0|0.0|0.953125|0.3203125|0.8015872836112976|0.9375|0.0|0.0|1.0|0.6507936716079712|0.6349206566810608|0.0|0.0|0.0|0.0|0.0|0.8015872836112976|0.1796875|0.0|0.0|0.296875|0.5317460298538208|0.0|4.0|0.3730158805847168
Clav Electric:0.8650793433189392|0.0|0.658730149269104|0.0|1.0|4.0|1.0|0.190476194024086|0.34375|-0.296875|0.453125|0.0|0.0|1.0|0.2578125|0.7777777910232544|0.3515625|1.0|0.9444444179534912|0.0|0.8095238208770752|-0.4765625|-0.4453125|0.0|0.0|0.60317462682724|0.8095238208770752|0.0|0.0|1.0|0.0|0.0|0.9920634627342224|0.0|0.0|0.6984127163887024|1.0|0.4296875|0.60317462682724|0.7413793206214905|0.484375|0.0|0.9603174328804016|0.60317462682724|0.7135826945304871|1.0|0.45952263474464417|1.0|0.5|0.484375|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.6535432934761047|0.0|0.0|1.0|0.453125|0.5|0.5|0.0|0.0|-0.1875|0.0|0.0|0.5317460298538208|-0.3984375|0.2265625|0.0|0.5|0.5|0.0|0.0|0.920634925365448|0.0|0.8015872836112976|0.7716535329818726|0.0|0.0|0.6507936716079712|0.6507936716079712|0.9444444179534912|1.0|0.0|0.0|0.0|0.0|0.523809552192688|0.1796875|0.296875|0.0|0.296875|0.2109375|1.0|4.0|0.08346433192491531
Clav Mellow:0.8888888955116272|0.9682539701461792|0.4920634925365448|0.6349206566810608|0.0|2.0|0.0|0.3203125|-0.140625|0.0|0.0|0.0|0.0|0.682539701461792|-0.2421875|0.3828125|0.8650793433189392|1.0|0.34375|1.0|0.6456692814826965|-0.3515625|0.0|1.0|0.0|0.7063491940498352|0.4609375|-0.1171875|0.0703125|1.0|-0.1171875|0.0|0.5|-0.109375|0.6428571343421936|0.27109989523887634|3.0|0.390625|0.5476190447807312|0.046875|0.109375|1.0|0.2578125|1.0|0.08661417663097382|1.0|0.26771652698516846|1.0|0.5|0.6746031641960144|0.234375|0.0|2.0|0.0|0.0|0.0|0.0|0.6349206566810608|0.0|14.0|0.0|0.0|2.0|1.0|0.0|0.0|0.0|1.0|0.453125|0.0625|0.5|2.0|0.0|0.0|0.21875|0.0|0.296875|0.109375|0.34375|0.0|0.5|0.5|0.0|0.0|0.7063491940498352|0.359375|0.841269850730896|0.6850393414497375|0.0|0.421875|0.8095238208770752|0.5873016119003296|0.5|1.0|0.0|0.0|0.0|0.0|0.8015872836112976|0.0|0.0|0.0|0.0|0.359375|1.0|4.0|0.296875
Clav Session:0.2890625|0.2063492089509964|0.234375|0.23222222924232483|1.0|1.0|0.0|0.9523809552192688|0.0|0.0|-0.125|0.0|0.0|0.0|0.0|0.46875|0.3730158805847168|1.0|0.2460317462682724|1.0|0.265625|0.0|0.125|1.0|0.0|0.9365079402923584|1.0|0.0|0.0|1.0|0.0|0.5793650150299072|0.2345915287733078|0.0|0.1875|1.0|3.0|0.0546875|0.21875|0.2460317462682724|0.4761904776096344|1.0|0.6269841194152832|1.0|0.9200000166893005|1.0|0.3272727131843567|1.0|0.609375|0.203125|0.0|0.0|2.0|0.420634925365448|0.1746031790971756|1.0|0.0|0.3174603283405304|0.0|14.0|0.0|0.0|1.0|1.0|0.53125|0.0|0.0|1.0|0.453125|0.5|0.5|0.0|0.0|0.11937499791383743|0.0|0.0|0.0|0.0|0.328125|0.0|0.5|0.5|0.0|0.0|1.0|0.0|0.7460317611694336|0.546875|0.0|0.0|0.7063491940498352|0.7857142686843872|0.460317462682724|1.0|0.0|0.0|0.0|0.0|0.828125|0.234375|0.40625|0.0|0.296875|0.6328125|1.0|5.0|0.07111112028360367
Clav Thin:0.0|0.0|0.0|0.5|0.0|2.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.5|0.5|0.0|0.5|0.0|0.0|0.0|0.0|1.0|0.0|0.4444444477558136|0.5873016119003296|0.0|0.0|1.0|0.0|0.0|0.6507936716079712|0.0|0.515625|0.30158731341362|3.0|1.0|0.1796875|0.061759836971759796|1.0|1.0|0.8620689511299133|0.09677419066429138|0.2926919460296631|1.0|0.49354618787765503|0.0|0.5|0.5826228857040405|0.0|0.0|0.0|0.5|0.5|0.0|0.0|0.5|0.0|13.0|0.0|0.0|2.0|1.0|0.3828125|0.0|0.0|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.0|0.0|0.53125|-0.21875|0.765625|0.0|0.5|0.5|0.0|0.0|0.71875|0.5|0.5|0.75|0.0|0.0|0.5|0.5|0.5|0.0|0.5|0.5|0.0|0.0|0.5|0.5|0.5|0.5|0.5|0.5|0.0|4.0|0.6953125
Clav Wah:0.0|0.0|0.0|0.5|0.0|2.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.5|0.5|0.0|0.5|0.0|0.5952380895614624|0.0|0.0|1.0|0.0|0.4444444477558136|0.5873016119003296|0.0|0.0|1.0|0.0|0.0|0.6507936716079712|0.0|0.515625|0.30158731341362|3.0|1.0|0.2421875|0.21938873827457428|1.0|1.0|0.8620689511299133|0.09677419066429138|0.2926919460296631|1.0|0.49354618787765503|0.0|0.5|0.5826228857040405|0.171875|0.0|2.0|0.5|0.5|0.0|0.0|0.5|0.0|13.0|0.0|0.0|2.0|1.0|0.3828125|0.0|0.0|0.0|0.5|0.5|0.5|0.0|0.0|0.0|0.15625|0.0|0.53125|-0.21875|0.765625|0.0|0.5|0.5|0.0|0.0|0.71875|0.5|0.5|0.75|0.0|0.0|0.5|0.5|0.5|0.0|0.5|0.5|0.0|0.0|0.5|0.5|0.5|0.5|0.5|0.5|0.0|7.0|0.7857142686843872
Clavcimer:0.8650793433189392|0.0|1.0|0.7301587462425232|1.0|4.0|1.0|0.3046875|0.34375|-0.296875|0.453125|0.0|0.0|0.5634920597076416|0.2578125|0.3203125|0.658730149269104|0.0|0.9444444179534912|0.0|0.6428571343421936|-0.4765625|-0.4453125|0.0|0.0|1.0|0.9523809552192688|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.6983267664909363|1.0|0.4296875|0.60317462682724|0.203125|0.484375|0.0|0.9603174328804016|0.60317462682724|1.0|1.0|0.0|1.0|0.5|0.484375|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|48.0|0.0|2.0|0.0|0.89682537317276|0.0|0.0|1.0|0.453125|0.078125|0.5|2.0|0.0|-0.1875|0.0|0.0|0.5317460298538208|-0.3984375|0.2265625|0.0|0.5|0.5|0.0|0.0|0.920634925365448|0.0|0.8015872836112976|0.8897637724876404|0.0|0.0|0.6507936716079712|0.6507936716079712|0.9444444179534912|1.0|0.0|0.0|0.0|0.0|0.523809552192688|0.1796875|0.296875|0.0|0.296875|0.2109375|1.0|4.0|0.08346433192491531
